[11/3/2023 5:26:52 PM] [INFO] received Windows console close event; shutting log-core down
[11/3/2023 5:28:52 PM] [INFO] received Windows console close event; shutting log-core down
[11/3/2023 5:30:43 PM] [INFO] received Windows console close event; shutting log-core down
[11/3/2023 5:32:47 PM] [INFO] received Windows console close event; shutting log-core down
[11/3/2023 6:11:56 PM] [INFO] received Windows console close event; shutting log-core down
[11/3/2023 6:16:09 PM] [INFO] received Windows console close event; shutting log-core down
[11/3/2023 6:20:03 PM] [INFO] received Windows console close event; shutting log-core down
[11/3/2023 6:20:49 PM] [INFO] received Windows console close event; shutting log-core down
[11/3/2023 8:08:51 PM] [INFO] received Windows console close event; shutting log-core down
[11/3/2023 8:17:03 PM] [INFO] received Windows console close event; shutting log-core down
[11/3/2023 8:40:36 PM] [INFO] received Windows console close event; shutting log-core down
[11/3/2023 8:40:43 PM] [INFO] received Windows console close event; shutting log-core down
